"tags","features","artist_name","track_name"
"[""80s"",""pop"",""female vocalists"",""new wave"",""rock"",""1987"",""pop rock"",""female vocals"",""T Pau"",""soft rock"",""80s Pop"",""british"",""favorites"",""synth pop"",""new romantic"",""female vocalist"",""TPau"",""top 40"",""Guilty Pleasures"",""one hit wonder"",""electronic"",""UK"",""dance"",""synthpop"",""80's"",""heart and soul"",""classic rock"",""memories"",""catchy"",""acoustic"",""guitar"",""long"",""party"",""synthesizer"",""relaxing"",""percussion"",""Favourites"",""nostalgia"",""sensual"",""duets"",""One Hit Wonders"",""childhood memories"",""My 80s"",""candlelight"",""Slow dances"",""vh-1"",""Disco"",""seen live"",""indie"",""vocal"",""female"",""chill"",""soul"",""alternative rock"",""ambient"",""sexy"",""repetitive"",""Love"",""easy listening"",""Gothic"",""shoegaze"",""beautiful"",""Awesome"",""bass"",""alto"",""drums"",""car"",""up"",""scotland"",""Mellow"",""Sleep"",""ethereal"",""Electronic Pop"",""emotional"",""keyboard"",""great song"",""vocal trance"",""modern rock"",""love songs"",""guilty pleasure"",""High School"",""rock n roll"",""80"",""Ballad"",""female vocal"",""4"",""Favorite"",""popular"",""chill out"",""female singer"",""female singers"",""hits"",""poppy"",""8 of 10 stars"",""2010"",""dr hook"",""truth"",""looooove"",""Masterpiece"",""fantasy""]","{""danceability"":0.536,""energy"":0.661,""key"":5,""loudness"":-9.174,""mode"":1,""speechiness"":0.0329,""acousticness"":0.383,""instrumentalness"":0.000507,""liveness"":0.0643,""valence"":0.682,""tempo"":90.231,""type"":""audio_features"",""id"":""3e4IdAxjdAWjZFEOMmvDVP"",""uri"":""spotify:track:3e4IdAxjdAWjZFEOMmvDVP"",""track_href"":""https://api.spotify.com/v1/tracks/3e4IdAxjdAWjZFEOMmvDVP"",""analysis_url"":""https://api.spotify.com/v1/audio-analysis/3e4IdAxjdAWjZFEOMmvDVP"",""duration_ms"":257133,""time_signature"":4}","T'Pau","Heart and Soul"
"[]","{""danceability"":0.703,""energy"":0.579,""key"":2,""loudness"":-12.786,""mode"":1,""speechiness"":0.0308,""acousticness"":0.37,""instrumentalness"":0.00000707,""liveness"":0.117,""valence"":0.973,""tempo"":111.583,""type"":""audio_features"",""id"":""6ZKlm17z22OxkzgemE4aos"",""uri"":""spotify:track:6ZKlm17z22OxkzgemE4aos"",""track_href"":""https://api.spotify.com/v1/tracks/6ZKlm17z22OxkzgemE4aos"",""analysis_url"":""https://api.spotify.com/v1/audio-analysis/6ZKlm17z22OxkzgemE4aos"",""duration_ms"":359816,""time_signature"":4}","Robert Palmer","Addicted To Love"
"[""80s"",""soul"",""pop"",""funk"",""rock"",""dance"",""rhythm and blues"",""RB"",""rnb"",""wishing well"",""singer-songwriter"",""80's"",""terence trent d arby-wishing well"",""sexy"",""funky"",""Love"",""male vocalists"",""1988"",""1980s"",""1987"",""80s soul"",""trance trand darby"",""classic"",""pop rock"",""catchy"",""urban"",""soft rock"",""adult contemporary"",""american"",""party"",""cool"",""great lyrics"",""Pop-Rock"",""4 of 10 stars"",""a subtle use of vocal harmony"",""intricate melodic phrasing"",""major key tonality"",""repetitive melodic phrasing"",""a dynamic male vocalist"",""80s Pop"",""Old School soul"",""All time favourites"",""groove based composition"",""electric guitar riffs"",""70s 80s 90s"",""leapsandloved"",""heavy syncopation"",""demanding instrumental part writing"",""critically acclaimed song"",""acclaimed music top 3000 bubbling under"",""galaxystardust"",""Terence Trent DArby"",""Terence Trent drby -WishingWell"",""Happy retirement mix"",""Disco"",""indie"",""jazz"",""british"",""clean"",""dark"",""cheese"",""romantic"",""beautiful"",""groove"",""night"",""bass"",""90s"",""drums"",""eighties"",""old skool"",""nu soul"",""r&b"",""oldies"",""smooth"",""new"",""r and b"",""beats"",""old school"",""poetic"",""trees"",""great song"",""Uplifting"",""good"",""new romantic"",""dance pop"",""rock n roll"",""alternative pop"",""singer-songwriters"",""Ballad"",""top 40"",""songs i love"",""roadtrip"",""I Like It"",""perfect pop songs"",""sensual"",""kissing"",""kiss"",""Remember"",""single"",""7""]","{""danceability"":0.855,""energy"":0.461,""key"":10,""loudness"":-13.096,""mode"":0,""speechiness"":0.0564,""acousticness"":0.0965,""instrumentalness"":0,""liveness"":0.201,""valence"":0.833,""tempo"":104.96,""type"":""audio_features"",""id"":""2bvzxeD1hPWEYotw40Euq9"",""uri"":""spotify:track:2bvzxeD1hPWEYotw40Euq9"",""track_href"":""https://api.spotify.com/v1/tracks/2bvzxeD1hPWEYotw40Euq9"",""analysis_url"":""https://api.spotify.com/v1/audio-analysis/2bvzxeD1hPWEYotw40Euq9"",""duration_ms"":210467,""time_signature"":4}","Terence Trent D'Arby","Wishing Well"
"[]","{""danceability"":0.898,""energy"":0.541,""key"":11,""loudness"":-17.542,""mode"":0,""speechiness"":0.282,""acousticness"":0.0188,""instrumentalness"":0.000151,""liveness"":0.281,""valence"":0.756,""tempo"":103.899,""type"":""audio_features"",""id"":""53eSPiEnq4XkQSxczX7iKA"",""uri"":""spotify:track:53eSPiEnq4XkQSxczX7iKA"",""track_href"":""https://api.spotify.com/v1/tracks/53eSPiEnq4XkQSxczX7iKA"",""analysis_url"":""https://api.spotify.com/v1/audio-analysis/53eSPiEnq4XkQSxczX7iKA"",""duration_ms"":288000,""time_signature"":4}","Eric B. & Rakim","I Know You Got Soul"
"[""pop"",""80s"",""dance"",""Madonna"",""female vocalists"",""1986"",""classic"",""american"",""open your heart"",""rock"",""Love"",""female vocalist"",""party"",""queen of pop"",""favorites"",""catchy"",""80s Pop"",""amayzes loved"",""electronic"",""favorite songs"",""new wave"",""upbeat"",""love songs"",""dance pop"",""female"",""USA"",""romantic"",""synthpop"",""Guilty Pleasures"",""davaho53"",""Disco"",""downtempo"",""singer-songwriter"",""pop rock"",""singer"",""oldies"",""gay"",""80's"",""female vocal"",""Favourites"",""nostalgia"",""Favourite Songs"",""best songs of the 80s"",""my favorite"",""love the video"",""music that makes me melt"",""danceable pop"",""us number one"",""immaculate collection"",""True Blue"",""dancing alone at home"",""madonnna"",""legolove"",""Brilliantastic"",""i love madonna""]","{""danceability"":0.656,""energy"":0.899,""key"":5,""loudness"":-5.039,""mode"":1,""speechiness"":0.0565,""acousticness"":0.0261,""instrumentalness"":0,""liveness"":0.0936,""valence"":0.865,""tempo"":113.239,""type"":""audio_features"",""id"":""3kme5Qos8h04yrKxsgur79"",""uri"":""spotify:track:3kme5Qos8h04yrKxsgur79"",""track_href"":""https://api.spotify.com/v1/tracks/3kme5Qos8h04yrKxsgur79"",""analysis_url"":""https://api.spotify.com/v1/audio-analysis/3kme5Qos8h04yrKxsgur79"",""duration_ms"":229280,""time_signature"":4}","Madonna","Open Your Heart"
"[""indie"",""rock"",""Grunge"",""alternative"",""alternative rock"",""indie rock""]","{""danceability"":0.53,""energy"":0.861,""key"":7,""loudness"":-4.67,""mode"":1,""speechiness"":0.0372,""acousticness"":0.0175,""instrumentalness"":0.0177,""liveness"":0.0857,""valence"":0.844,""tempo"":130.476,""type"":""audio_features"",""id"":""64D3dzWyj0GpQT1AHx4kbK"",""uri"":""spotify:track:64D3dzWyj0GpQT1AHx4kbK"",""track_href"":""https://api.spotify.com/v1/tracks/64D3dzWyj0GpQT1AHx4kbK"",""analysis_url"":""https://api.spotify.com/v1/audio-analysis/64D3dzWyj0GpQT1AHx4kbK"",""duration_ms"":140507,""time_signature"":4}","The Smiths","Panic (2011 Remastered Version)"
"[""pop"",""synthpop""]","{""danceability"":0.636,""energy"":0.953,""key"":0,""loudness"":-8.074,""mode"":1,""speechiness"":0.0544,""acousticness"":0.091,""instrumentalness"":0.0203,""liveness"":0.252,""valence"":0.947,""tempo"":111.019,""type"":""audio_features"",""id"":""6KdhjkEK51ZlYCo6Pen0PM"",""uri"":""spotify:track:6KdhjkEK51ZlYCo6Pen0PM"",""track_href"":""https://api.spotify.com/v1/tracks/6KdhjkEK51ZlYCo6Pen0PM"",""analysis_url"":""https://api.spotify.com/v1/audio-analysis/6KdhjkEK51ZlYCo6Pen0PM"",""duration_ms"":183347,""time_signature"":4}","Living In A Box","Living In A Box - 7'' Version"
"[""80s"",""rock"",""pop"",""INXS"",""new wave"",""australian"",""sexy"",""classic rock"",""pop rock"",""dance"",""alternative"",""party"",""1987"",""male vocalists"",""alternative rock"",""sex"",""need you tonight"",""Soundtrack"",""Love"",""funk"",""oldies"",""80s rock"",""australia"",""80's"",""Favourites"",""classic"",""90s"",""loved"",""funky"",""Pop-Rock"",""electronic"",""favorites"",""soft rock"",""guitar"",""favourite"",""Aussie"",""nostalgia"",""My Favorites"",""amayzes loved"",""INXS need you tonight"",""favorite songs"",""gute laune"",""1980s"",""KICK"",""absolute classics"",""Michael Hutchence"",""INXS - Need You Tonight""]","{""danceability"":0.795,""energy"":0.63,""key"":10,""loudness"":-7.217,""mode"":0,""speechiness"":0.0841,""acousticness"":0.0419,""instrumentalness"":0.575,""liveness"":0.0894,""valence"":0.785,""tempo"":108.701,""type"":""audio_features"",""id"":""1sR4aKaHpLrc9u7g4ii90U"",""uri"":""spotify:track:1sR4aKaHpLrc9u7g4ii90U"",""track_href"":""https://api.spotify.com/v1/tracks/1sR4aKaHpLrc9u7g4ii90U"",""analysis_url"":""https://api.spotify.com/v1/audio-analysis/1sR4aKaHpLrc9u7g4ii90U"",""duration_ms"":181107,""time_signature"":4}","INXS","Need You Tonight"
"[]","{""danceability"":0.751,""energy"":0.632,""key"":7,""loudness"":-14.803,""mode"":1,""speechiness"":0.0585,""acousticness"":0.00116,""instrumentalness"":0.4,""liveness"":0.0549,""valence"":0.68,""tempo"":112.992,""type"":""audio_features"",""id"":""369JKykZZr1qzv9pg5zAhz"",""uri"":""spotify:track:369JKykZZr1qzv9pg5zAhz"",""track_href"":""https://api.spotify.com/v1/tracks/369JKykZZr1qzv9pg5zAhz"",""analysis_url"":""https://api.spotify.com/v1/audio-analysis/369JKykZZr1qzv9pg5zAhz"",""duration_ms"":250960,""time_signature"":4}","M/A/R/R/S","Pump Up The Volume (7"")"
"[""electronic"",""80s"",""electronica"",""alternative"",""ambient"",""experimental"",""techno"",""1986"",""synth-pop"",""eclectonia"",""From me for you""]","{""danceability"":0.757,""energy"":0.555,""key"":11,""loudness"":-13.916,""mode"":0,""speechiness"":0.043,""acousticness"":0.199,""instrumentalness"":0.0613,""liveness"":0.252,""valence"":0.782,""tempo"":111.891,""type"":""audio_features"",""id"":""3vnVLUV6I38VFcpJiIxX9O"",""uri"":""spotify:track:3vnVLUV6I38VFcpJiIxX9O"",""track_href"":""https://api.spotify.com/v1/tracks/3vnVLUV6I38VFcpJiIxX9O"",""analysis_url"":""https://api.spotify.com/v1/audio-analysis/3vnVLUV6I38VFcpJiIxX9O"",""duration_ms"":199533,""time_signature"":4}","Art Of Noise","Paranoimia (feat. Max Headroom)"
